adani,gail,hdfc,infy,kotak,reliance,tatasteel
335,93.747078,1066.650024,938.369507,1364.599976,2133.800049,416.450012
341.200012,94.469688,1063.699951,944.800415,1335.099976,2127.600098,414.5
347.649994,93.843422,1059.050049,941.090271,1336.25,2122.050049,413.100006
348.100006,92.446365,1034.449951,943.464722,1307.449951,2113.800049,418.5
357.450012,94.084297,1032.75,947.323303,1327.550049,2091.350098,425.049988
357.450012,93.409851,1056.5,957.266479,1369.349976,2118.550049,434.5
356.649994,97.745529,1066.599976,949.104187,1355.599976,2131.550049,431.700012
353.600006,97.793709,1059,944.998291,1338.349976,2097.050049,432.600006
354.350006,98.034576,1085.650024,938.715759,1339.400024,2081.850098,428.850006
349,97.890053,1117.050049,937.330688,1387.25,2095.75,429.5
346.100006,96.059433,1119.699951,928.129456,1400.099976,2082.100098,424
354.25,96.203957,1118.449951,940.694519,1436.699951,2137.300049,425
350.549988,95.57769,1112.099976,936.984375,1420,2110.600098,426.850006
360.049988,95.481339,1114.5,925.309814,1467.099976,2116.149902,424.200012
355.75,92.157326,1115.849976,918.730469,1401.349976,2080.699951,413
348.799988,92.879936,1127.300049,904.434082,1430.650024,2087.25,428.649994
359.899994,93.747078,1134.150024,914.179382,1423.5,2128.199951,438.649994
366,94.51786,1130.900024,925.606567,1396.699951,2112.100098,438.100006
353,94.469688,1119.300049,909.38092,1380.050049,2077.25,421.299988
352.049988,92.25367,1110.5,915.218201,1368.75,2082.649902,422.5
345.600006,91.097488,1112.449951,929.316711,1350.699951,2107.100098,405.100006
343.850006,87.725296,1096.5,917.889526,1326.150024,2161.350098,417.399994
341.600006,87.484421,1090.550049,930.058777,1319.5,2314,408
342.5,87.436249,1078.650024,935.648743,1330.349976,2319.75,407.5
351.649994,88.592422,1057.949951,968.001221,1304.699951,2302.550049,404.649994
352.649994,88.736954,1070.5,972.008118,1323.949951,2318.850098,405.25
353.549988,88.496078,1093.650024,991.103027,1325.400024,2324.550049,404.600006
346.100006,87.436249,1083.599976,1000.2547,1305.099976,2298.75,398.700012
357.850006,88.736954,1057.300049,991.498779,1277.099976,2305.699951,395.5
347.850006,84.979355,1049.300049,999.166382,1287.849976,2255.850098,373.399994
332.299988,81.077248,1035.400024,996.79187,1270.550049,2211.149902,374.149994
324.600006,82.570648,1047.25,1008.911682,1275.400024,2230.800049,361.299988
313.75,79.969238,1030.400024,965.033081,1246.099976,2181.199951,343.899994
326.149994,82.088898,1044,1000.69989,1253.050049,2201.699951,352.100006
339.549988,84.979355,1054.199951,999.661072,1278.699951,2216.25,361
341,84.304924,1062.550049,998.27594,1263.25,2245.050049,370.049988
341.75,83.630486,1078.599976,997.533936,1268.199951,2234.350098,359.75
353.299988,85.172058,1106.949951,1006.834045,1305.050049,2225.25,364.950012
350.350006,83.823181,1114.349976,1037.553955,1314.599976,2212.199951,382.299988
362.899994,84.545792,1144.099976,1044.529053,1338.25,2210.350098,377.399994
360.649994,83.534134,1162.25,1055.214355,1324.699951,2257.5,371.100006
359.75,81.077248,1191.800049,1082.075684,1320.099976,2239.25,373.649994
357.200012,82.570648,1233.550049,1095.036499,1319.849976,2233.449951,369.5
357.649994,80.788193,1213.650024,1120.067505,1312.900024,2237.050049,371.100006
349.899994,80.113762,1198.449951,1145.494507,1344.949951,2280.699951,368.350006
348.950012,79.632027,1211.5,1124.915527,1353.349976,2287.5,375.549988
342.799988,79.294807,1169.25,1096.471069,1309.550049,2206.5,373.899994
349.950012,80.932724,1199.349976,1115.516479,1336.550049,2175.800049,393.850006
347.549988,84.256744,1203.550049,1113.933472,1376.699951,2176.199951,395.5
348.950012,82.570648,1223.949951,1125.410156,1368.800049,2155.899902,392.399994
355.350006,84.449448,1246.699951,1136.144897,1393.300049,2124.600098,404.049988
358.350006,85.412926,1233.300049,1117.050049,1393.050049,2106.949951,409.649994
364.350006,84.112228,1235.800049,1122.5,1383.050049,2113.050049,423.450012
363.700012,82.377953,1210.900024,1112.449951,1416.900024,2029.099976,408.399994
364.399994,81.125412,1233.099976,1090.849976,1587.650024,2034.5,411
353.649994,80.06559,1209.599976,1076.550049,1551.349976,2011.449951,402.299988
342.700012,80.402802,1187.199951,1074.849976,1570.900024,2026.900024,401.399994
359.850006,81.655334,1183.550049,1060.599976,1547.400024,2054.5,410.549988
356.899994,80.884544,1215.25,1072.300049,1580.699951,1877.449951,402.850006
353.649994,80.884544,1247.949951,1062.550049,1593.599976,1850.400024,406.899994
361.100006,80.30645,1257.400024,1093.949951,1630.699951,1913.199951,403.899994
368.649994,84.256744,1269.199951,1104,1675.449951,1955,425.5
371.100006,82.667,1307.650024,1112.75,1718.050049,2029.150024,426.5
367.049988,83.341438,1340.550049,1136.550049,1728.150024,2050.699951,438.299988
366.75,86.906326,1393.650024,1091.050049,1752.949951,2084.550049,441.899994
371.600006,89.555916,1389.949951,1122.5,1807.849976,1997.199951,473.950012
368.049988,89.652267,1371.699951,1117.75,1754.75,1980,473.149994
365.5,89.411392,1358.800049,1124.199951,1763.300049,1996.400024,486.549988
379.649994,90.134003,1408.449951,1123.699951,1796.650024,1993.25,522.700012
391.100006,90.519394,1408.699951,1110.550049,1830.599976,1987.199951,517.200012
381.899994,90.230347,1374.349976,1096.75,1826.349976,1973.150024,523.599976
375.850006,93.891594,1403.650024,1103.349976,1889.400024,1899.5,532.900024
375.149994,97.215614,1394.599976,1139.849976,1897.849976,1950.699951,543.099976
392.25,96.637527,1438.199951,1140.050049,1924.900024,1964.050049,548.299988
398.950012,98.564499,1402.800049,1115.650024,1862.449951,1947.800049,541.25
410.149994,98.99807,1426.650024,1113.199951,1889.099976,1952.599976,568.400024
411.549988,98.901718,1440.849976,1100,1907.099976,1929.800049,577.349976
423.799988,106.657761,1433.300049,1137.849976,1875.849976,1954.900024,585.799988
438.200012,112.438675,1406.949951,1140.900024,1814.199951,1958.150024,604.349976
435.799988,113.932083,1377.199951,1126.449951,1821,1964.050049,620.900024
453.700012,115.425484,1385.599976,1134.650024,1846.25,1946.75,622.700012
471.5,117.930542,1372.25,1143.5,1820.550049,1958.199951,614.549988
463.350006,117.304276,1376.300049,1153.349976,1833.800049,1993.75,613.450012
463.899994,118.026894,1407.199951,1175.199951,1883.550049,2026.949951,609.349976
471,115.666351,1385.849976,1167.75,1903.300049,2007,610.099976
466.299988,121.254562,1382.800049,1163.199951,1920.400024,2005.800049,621.700012
467,120.869164,1372.150024,1164.550049,1939.349976,1991.300049,626.75
475.75,120.676468,1391.300049,1154.599976,1951.150024,1974.349976,635.349976
475.549988,119.857506,1410.699951,1165.699951,1952.550049,1976.550049,643.400024
467.75,119.375763,1441.800049,1159.199951,1965.449951,1985.599976,635.299988
463.299988,120.483772,1411.349976,1189.800049,1949.349976,1991.550049,631.25
444.25,110.511703,1372.650024,1177.300049,1920.849976,1939.699951,595.849976
468.649994,114.172943,1373.099976,1220.5,1902.949951,1936.699951,601.349976
470.75,113.932083,1375.650024,1253.050049,1920.75,1943.849976,621.400024
478.549988,115.762695,1397.099976,1236.050049,1960.599976,1994.150024,622.299988
483.549988,118.171417,1412.849976,1240.300049,1988.900024,2003.300049,632.650024
483.399994,119.231239,1427.199951,1250.300049,1999.300049,1990.050049,632.200012
485.399994,118.60498,1432.5,1246.800049,2017.949951,1995.5,640.450012
483.75,118.749504,1436.300049,1255.800049,1995.599976,1985.300049,643.650024
503.850006,119.134895,1425.050049,1260.449951,1994.050049,1987.5,643.099976
498.899994,123.326057,1416,1288.25,1965.550049,1990.849976,693
499.450012,124.578583,1426.699951,1293.800049,1959.75,1966.099976,680.549988
496.799988,129.106964,1420.550049,1282.099976,1970.400024,1914.25,683.799988
513.849976,128.577042,1416.25,1262.150024,1952.400024,1911.150024,722.799988
517,127.902611,1431.650024,1312.099976,1970.699951,1933.699951,713.150024
508.350006,130.744888,1451.449951,1376.199951,1938.150024,1897.25,695.650024
511.25,136.23674,1481,1371.75,1903.449951,1957.050049,694.900024
536.650024,136.092224,1470.650024,1387.150024,1882.099976,1938.800049,709.150024
536.950012,138.741821,1468.75,1370.5,1892.650024,1960.599976,706.349976
527.950012,133.442642,1466.650024,1344.949951,1863.900024,1937.449951,705.900024
515.5,132.864548,1483.099976,1312.050049,1846.949951,1983.949951,666.700012
532.799988,134.550659,1503.849976,1316.650024,1887,2016.400024,681.099976
558.599976,132.960892,1492,1339.449951,1883.599976,2054.699951,690.150024
547.650024,128.866089,1474.800049,1339.699951,1857.800049,2099.399902,666.700012
535.799988,129.155136,1443.550049,1340.849976,1828,2049.600098,647
523.650024,128.095291,1462.849976,1325.099976,1794.400024,1941,651.950012
518.849976,125.394943,1409.599976,1301,1764.699951,1895,626
519.099976,126.278702,1371.449951,1276.199951,1722.849976,1876.550049,623.700012
509.700012,123.038269,1390.5,1239.050049,1712.949951,1841.949951,601
542.75,125.100365,1476.75,1260.900024,1801.5,1895.300049,636.099976
550.799988,127.358841,1560.550049,1271.25,1861.300049,1925.800049,641.650024
560.099976,128.095306,1574.800049,1284.650024,1852.199951,1930.650024,653.150024
568.400024,128.34079,1579.099976,1279.349976,1910.400024,1924.300049,655.950012
566.950012,125.885918,1597.599976,1272.099976,1982.699951,1923.75,685.049988
582.049988,129.028152,1605.25,1303.550049,1957.150024,1951.449951,702.950012
581.950012,128.684479,1611.849976,1305.550049,1949.150024,1956.150024,699.200012
576.849976,131.188446,1581.75,1296.5,1952.050049,1974.300049,690.25
591.849976,133.987,1572.349976,1292.650024,1961,2055.699951,694.700012
616.599976,130.501068,1581.949951,1309.800049,1951.050049,2041.599976,680.5
627.75,131.384842,1616.599976,1309.650024,1985.949951,2032.599976,672.150024
636.549988,130.697479,1626.650024,1290.400024,2019.650024,2059.5,699.200012
655.75,131.973999,1586.5,1281.300049,1989.449951,2083.25,696.799988
664.049988,140.516968,1554.300049,1292.449951,1945.449951,2067.699951,697.75
653.5,142.775436,1539.099976,1291.300049,1938.75,2080.300049,670.700012
673.799988,140.222382,1548,1265.199951,1949.599976,2008.099976,684.549988
662,144.690262,1529.150024,1266.349976,1872.949951,2023.449951,729.299988
665.200012,143.806488,1606.449951,1274.300049,1911.199951,2061,727.700012
704.299988,148.077972,1606.400024,1274.550049,1895.5,2144.350098,742.900024
675.900024,139.240433,1534.400024,1253.300049,1780.349976,2085.800049,715.150024
692.900024,141.891693,1558.900024,1267,1845.400024,2101.699951,730.400024
720.5,142.186279,1568.199951,1304.5,1844.650024,2106,735.5
729.849976,144.29747,1586.849976,1343.550049,1899.5,2202.100098,777.150024
752.450012,141.84259,1552.050049,1330.349976,1897.699951,2175.850098,757.950012
748.950012,144.493851,1530,1316.699951,1922.5,2178.699951,733.299988
748.400024,151.367508,1519.5,1335.75,1915.849976,2191.100098,737.25
750.75,146.359573,1562.5,1345.550049,1978.949951,2191.050049,706.75
745.349976,145.033936,1555.75,1368.150024,1963.949951,2181.949951,724.5
728.150024,144.19928,1551.949951,1374.849976,1935.150024,2137.600098,719.950012
719.049988,140.958847,1528.650024,1373.599976,1918.650024,2108.899902,736.400024
717.349976,140.664261,1512.150024,1384,1903.199951,2100.600098,724.049988
688.25,135.901794,1495.349976,1387,1868.349976,2055.350098,704.400024
679.650024,132.661377,1491,1337.099976,1830.400024,2009.099976,704.849976
686.25,136,1497.5,1344.449951,1834.150024,2082,733
721.900024,136.800003,1469.150024,1370.800049,1822.650024,2062.399902,743.5
738.549988,134.399994,1500.150024,1371.550049,1812.650024,2087.5,741.150024
706.849976,131,1478.800049,1353.75,1782.449951,2047.300049,702.799988
688.25,128,1463.349976,1333.800049,1762.900024,1991.449951,723.150024
703.049988,131.800003,1491.300049,1336.199951,1771.050049,1994.650024,766.849976
710.549988,132.350006,1553.699951,1385.300049,1781.25,2029.300049,800
702.400024,135.5,1493.650024,1368.050049,1753,2003.099976,811.849976
736.25,140.149994,1486.75,1385.199951,1804.550049,2021.849976,863.049988
742.25,134.949997,1449.599976,1409.900024,1759.199951,1992.599976,867.75
835.549988,134.550003,1440.25,1411.050049,1768.300049,1984.300049,862.849976
814.75,138.649994,1447.199951,1430.199951,1792,2002.849976,874.849976
823,138.550003,1432.800049,1439.849976,1783.25,2005.349976,918.400024
823.599976,138.800003,1421.75,1441.050049,1799.25,1982.050049,899.5
744.650024,132.75,1367.050049,1425.75,1742.5,1911.150024,851.549988
731.049988,138.899994,1400.349976,1397.150024,1775.849976,1931.800049,879
750.349976,140.600006,1430.099976,1360.75,1773.25,1944.300049,898.200012
755.5,139.600006,1428.650024,1353.75,1764.099976,1932.099976,890.25
720.950012,136.399994,1412.400024,1362.550049,1700.75,1901.699951,888.049988
720.450012,134.399994,1391.400024,1351.349976,1697.699951,1901.150024,894
737.799988,133,1422.5,1351.099976,1736.050049,1906.400024,921.400024
725.349976,129.399994,1414.150024,1333.800049,1734.199951,1904.349976,925.599976
730.75,130,1404.800049,1343.550049,1759.650024,1937.849976,940.75
749.150024,131.550003,1438.699951,1348.5,1750.300049,1988.650024,977.75
746.25,133.350006,1476.800049,1356,1811.449951,1997.300049,971.400024
746.75,134.800003,1472.5,1356.349976,1805,2024.050049,1031.349976
732.450012,137.449997,1413.900024,1357.650024,1750.050049,1994.699951,1031.550049
